TRIPID,PERSID,HHID,STARTIME,TRIPTIME,WAITIME,CUMDIST,STOPS,ORIGLGA,TRAVDOW,Mode_Group,TRIPPURP,ActualStartTime
Y16H2090109P01T01,Y16H2090109P01,Y16H2090109,765,15,0,5.43,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 12:45:00
Y16H2090109P01T02,Y16H2090109P01,Y16H2090109,930,15,0,5.41,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 15:30:00
Y16H2090109P01T03,Y16H2090109P01,Y16H2090109,990,15,0,9.63,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Buy Something,1900-00-01 16:30:00
Y16H2090124P01T02,Y16H2090124P01,Y16H2090124,900,10,0,6.56,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Buy Something,1900-00-01 15:00:00
Y16H2090124P01T03,Y16H2090124P01,Y16H2090124,915,20,0,21.36,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Buy Something,1900-00-01 15:15:00
Y16H2090124P02T01,Y16H2090124P02,Y16H2090124,390,30,0,18.49,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Work Related,1900-00-01 06:30:00
Y16H2090124P02T02,Y16H2090124P02,Y16H2090124,900,30,0,18.59,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Work Related,1900-00-01 15:00:00
Y16H2090126P02T01,Y16H2090126P02,Y16H2090126,960,20,0,7.84,1,Mornington Peninsula (S),Friday,Vehicle Driver,Buy Something,1900-00-01 16:00:00
Y16H2090126P02T02,Y16H2090126P02,Y16H2090126,1000,15,0,7.92,1,Mornington Peninsula (S),Friday,Vehicle Driver,Buy Something,1900-00-01 16:40:00
Y16H2090136P01T01,Y16H2090136P01,Y16H2090136,1020,10,0,7.78,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 17:00:00
Y16H2090136P01T02,Y16H2090136P01,Y16H2090136,1050,10,0,7.76,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 17:30:00
Y16H2090301P02T01,Y16H2090301P02,Y16H2090301,465,65,11,26.63,4,Kingston (C),Monday,Train,Work Related,1900-00-01 07:45:00
Y16H2090301P02T02,Y16H2090301P02,Y16H2090301,1060,65,10,26.28,4,Melbourne (C),Monday,Train,Work Related,1900-00-01 17:40:00
Y16H2090303P01T01,Y16H2090303P01,Y16H2090303,510,25,0,11.01,1,Kingston (C),Wednesday,Vehicle Driver,Work Related,1900-00-01 08:30:00
Y16H2090303P01T02,Y16H2090303P01,Y16H2090303,1020,30,0,12.29,1,Monash (C),Wednesday,Vehicle Driver,Buy Something,1900-00-01 17:00:00
Y16H2090303P01T03,Y16H2090303P01,Y16H2090303,1060,5,0,0.42,1,Kingston (C),Wednesday,Vehicle Driver,Buy Something,1900-00-01 17:40:00
Y16H2090305P01T01,Y16H2090305P01,Y16H2090305,480,20,0,8.48,1,Kingston (C),Friday,Vehicle Driver,Work Related,1900-00-01 08:00:00
Y16H2090305P01T02,Y16H2090305P01,Y16H2090305,960,20,0,8.53,1,Glen Eira (C),Friday,Vehicle Driver,Work Related,1900-00-01 16:00:00
Y16H2090305P02T01,Y16H2090305P02,Y16H2090305,330,50,0,49.14,1,Kingston (C),Friday,Vehicle Driver,Work Related,1900-00-01 05:30:00
Y16H2090305P02T02,Y16H2090305P02,Y16H2090305,930,70,0,49.71,1,Melton (S),Friday,Vehicle Driver,Recreational,1900-00-01 15:30:00
Y16H2090305P02T03,Y16H2090305P02,Y16H2090305,1065,5,0,2.03,1,Kingston (C),Friday,Vehicle Driver,Recreational,1900-00-01 17:45:00
Y16H2090309P01T02,Y16H2090309P01,Y16H2090309,735,60,0,12.51,1,Stonnington (C),Tuesday,Vehicle Driver,Buy Something,1900-00-01 12:15:00
Y16H2090309P01T03,Y16H2090309P01,Y16H2090309,930,30,0,1.96,1,Kingston (C),Tuesday,Vehicle Driver,Buy Something,1900-00-01 15:30:00
Y16H2090309P02T02,Y16H2090309P02,Y16H2090309,735,60,0,12.51,1,Stonnington (C),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 12:15:00
Y16H2090309P02T03,Y16H2090309P02,Y16H2090309,930,30,0,1.96,1,Kingston (C),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 15:30:00
Y16H2090310P01T01,Y16H2090310P01,Y16H2090310,570,5,0,0.24,1,Kingston (C),Wednesday,Walking,Social,1900-00-01 09:30:00
Y16H2090310P01T02,Y16H2090310P01,Y16H2090310,770,5,0,0.24,1,Kingston (C),Wednesday,Walking,Social,1900-00-01 12:50:00
Y16H2090310P01T05,Y16H2090310P01,Y16H2090310,941,4,0,0.24,1,Kingston (C),Wednesday,Walking,Social,1900-00-01 15:41:00
Y16H2090310P01T06,Y16H2090310P01,Y16H2090310,950,5,0,0.24,1,Kingston (C),Wednesday,Walking,Social,1900-00-01 15:50:00
Y16H2090316P01T01,Y16H2090316P01,Y16H2090316,600,10,0,1.9,1,Kingston (C),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 10:00:00
Y16H2090316P01T02,Y16H2090316P01,Y16H2090316,705,10,0,1.88,1,Kingston (C),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 11:45:00
Y16H2090317P02T01,Y16H2090317P02,Y16H2090317,460,40,0,14.26,1,Kingston (C),Wednesday,Vehicle Passenger,Work Related,1900-00-01 07:40:00
Y16H2090319P01T01,Y16H2090319P01,Y16H2090319,510,15,0,7.86,1,Kingston (C),Friday,Vehicle Driver,Work Related,1900-00-01 08:30:00
Y16H2090319P01T02,Y16H2090319P01,Y16H2090319,810,30,0,7.82,1,Bayside (C),Friday,Vehicle Driver,Work Related,1900-00-01 13:30:00
Y16H2090319P02T01,Y16H2090319P02,Y16H2090319,975,15,0,3.43,1,Kingston (C),Friday,Bicycle,Work Related,1900-00-01 16:15:00
Y16H2090319P02T02,Y16H2090319P02,Y16H2090319,1155,15,0,3.45,1,Bayside (C),Friday,Bicycle,Work Related,1900-00-01 19:15:00
Y16H2090322P01T01,Y16H2090322P01,Y16H2090322,405,75,0,59.41,1,Kingston (C),Monday,Vehicle Driver,Buy Something,1900-00-01 06:45:00
Y16H2090322P01T02,Y16H2090322P01,Y16H2090322,510,50,0,27.37,1,Brimbank (C),Monday,Vehicle Driver,Work Related,1900-00-01 08:30:00
Y16H2090322P01T03,Y16H2090322P01,Y16H2090322,615,15,0,26.84,1,Macedon Ranges (S),Monday,Vehicle Driver,Work Related,1900-00-01 10:15:00
Y16H2090322P01T04,Y16H2090322P01,Y16H2090322,645,45,0,1.02,1,Moorabool (S),Monday,Vehicle Passenger,Work Related,1900-00-01 10:45:00
Y16H2090322P01T05,Y16H2090322P01,Y16H2090322,735,15,0,1.02,1,Moorabool (S),Monday,Vehicle Passenger,Work Related,1900-00-01 12:15:00
Y16H2090322P01T08,Y16H2090322P01,Y16H2090322,990,35,0,24.7,1,Melton (S),Monday,Vehicle Passenger,Work Related,1900-00-01 16:30:00
Y16H2090322P01T10,Y16H2090322P01,Y16H2090322,1065,15,0,0.99,1,Moorabool (S),Monday,Vehicle Passenger,Social,1900-00-01 17:45:00
Y16H2090322P02T01,Y16H2090322P02,Y16H2090322,555,15,0,3.39,1,Kingston (C),Monday,Vehicle Driver,Buy Something,1900-00-01 09:15:00
Y16H2090322P02T05,Y16H2090322P02,Y16H2090322,940,5,0,1.23,1,Kingston (C),Monday,Vehicle Driver,Buy Something,1900-00-01 15:40:00
Y16H2090323P01T01,Y16H2090323P01,Y16H2090323,510,10,0,3.73,1,Kingston (C),Tuesday,Vehicle Driver,Work Related,1900-00-01 08:30:00
Y16H2090323P01T02,Y16H2090323P01,Y16H2090323,570,30,0,7.9,1,Kingston (C),Tuesday,Vehicle Passenger,Work Related,1900-00-01 09:30:00
Y16H2090323P01T03,Y16H2090323P01,Y16H2090323,780,30,0,7.91,1,Kingston (C),Tuesday,Vehicle Passenger,Work Related,1900-00-01 13:00:00
Y16H2090323P01T04,Y16H2090323P01,Y16H2090323,1035,15,0,3.56,1,Kingston (C),Tuesday,Vehicle Driver,Work Related,1900-00-01 17:15:00
Y16H2090325P01T03,Y16H2090325P01,Y16H2090325,420,3,0,0.23,1,Kingston (C),Thursday,Vehicle Driver,Buy Something,1900-00-01 07:00:00
Y16H2090325P01T04,Y16H2090325P01,Y16H2090325,430,10,0,2.67,1,Kingston (C),Thursday,Vehicle Driver,Recreational,1900-00-01 07:10:00
Y16H2090325P01T05,Y16H2090325P01,Y16H2090325,770,10,0,2.9,1,Bayside (C),Thursday,Vehicle Driver,Recreational,1900-00-01 12:50:00
Y16H2090325P01T06,Y16H2090325P01,Y16H2090325,1095,10,0,0.65,1,Kingston (C),Thursday,Vehicle Driver,Social,1900-00-01 18:15:00
Y16H2090325P01T07,Y16H2090325P01,Y16H2090325,1185,15,0,1.4,1,Kingston (C),Thursday,Vehicle Driver,Social,1900-00-01 19:45:00
Y16H2090325P02T01,Y16H2090325P02,Y16H2090325,1095,10,0,0.65,1,Kingston (C),Thursday,Vehicle Passenger,Social,1900-00-01 18:15:00
Y16H2090325P02T02,Y16H2090325P02,Y16H2090325,1185,15,0,1.4,1,Kingston (C),Thursday,Vehicle Passenger,Social,1900-00-01 19:45:00
Y16H2090331P01T01,Y16H2090331P01,Y16H2090331,541,2,0,0.1,1,Kingston (C),Wednesday,Walking,Buy Something,1900-00-01 09:01:00
Y16H2090331P01T03,Y16H2090331P01,Y16H2090331,617,12,0,4.71,1,Glen Eira (C),Wednesday,Vehicle Driver,Social,1900-00-01 10:17:00
Y16H2090331P01T05,Y16H2090331P01,Y16H2090331,891,14,0,3.7,1,Kingston (C),Wednesday,Vehicle Driver,Social,1900-00-01 14:51:00
Y16H2090331P01T06,Y16H2090331P01,Y16H2090331,922,8,0,1.3,1,Kingston (C),Wednesday,Vehicle Driver,Social,1900-00-01 15:22:00
Y16H2090331P01T07,Y16H2090331P01,Y16H2090331,946,6,0,0.51,1,Kingston (C),Wednesday,Walking,Buy Something,1900-00-01 15:46:00
Y16H2090331P01T08,Y16H2090331P01,Y16H2090331,954,7,0,0.51,1,Kingston (C),Wednesday,Walking,Buy Something,1900-00-01 15:54:00
Y16H2090337P03T01,Y16H2090337P03,Y16H2090337,540,30,0,17.02,1,Bayside (C),Tuesday,Vehicle Passenger,Education,1900-00-01 09:00:00
Y16H2090338P01T01,Y16H2090338P01,Y16H2090338,540,30,0,12.2,1,Kingston (C),Wednesday,Vehicle Driver,Social,1900-00-01 09:00:00
Y16H2090338P01T02,Y16H2090338P01,Y16H2090338,585,25,0,12.59,1,Greater Dandenong (C),Wednesday,Vehicle Driver,Recreational,1900-00-01 09:45:00
Y16H2090338P01T03,Y16H2090338P01,Y16H2090338,660,15,0,3.87,1,Kingston (C),Wednesday,Vehicle Driver,Recreational,1900-00-01 11:00:00
Y16H2090338P01T04,Y16H2090338P01,Y16H2090338,780,30,0,12.2,1,Kingston (C),Wednesday,Vehicle Driver,Social,1900-00-01 13:00:00
Y16H2090338P01T05,Y16H2090338P01,Y16H2090338,870,20,0,12.59,1,Greater Dandenong (C),Wednesday,Vehicle Driver,Recreational,1900-00-01 14:30:00
Y16H2090338P01T06,Y16H2090338P01,Y16H2090338,950,10,0,3.87,1,Kingston (C),Wednesday,Vehicle Driver,Recreational,1900-00-01 15:50:00
Y16H2090503P01T01,Y16H2090503P01,Y16H2090503,440,40,0,47.53,1,Moorabool (S),Wednesday,Vehicle Driver,Work Related,1900-00-01 07:20:00
Y16H2090503P01T02,Y16H2090503P01,Y16H2090503,1050,60,0,46.64,1,Brimbank (C),Wednesday,Vehicle Driver,Work Related,1900-00-01 17:30:00
Y16H2090508P01T01,Y16H2090508P01,Y16H2090508,887,28,0,2.57,1,Moorabool (S),Monday,Walking,Recreational,1900-00-01 14:47:00
Y16H2090508P01T02,Y16H2090508P01,Y16H2090508,915,27,0,2.4,1,Moorabool (S),Monday,Walking,Buy Something,1900-00-01 15:15:00
Y16H2090508P01T03,Y16H2090508P01,Y16H2090508,947,2,0,0.23,1,Moorabool (S),Monday,Walking,Buy Something,1900-00-01 15:47:00
Y16H2090508P02T01,Y16H2090508P02,Y16H2090508,887,28,0,2.57,1,Moorabool (S),Monday,Walking,Recreational,1900-00-01 14:47:00
Y16H2090508P02T02,Y16H2090508P02,Y16H2090508,915,27,0,2.4,1,Moorabool (S),Monday,Walking,Buy Something,1900-00-01 15:15:00
Y16H2090508P02T03,Y16H2090508P02,Y16H2090508,947,2,0,0.23,1,Moorabool (S),Monday,Walking,Buy Something,1900-00-01 15:47:00
Y16H2090522P01T08,Y16H2090522P01,Y16H2090522,1023,17,0,16.98,1,Moorabool (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 17:03:00
Y16H2090522P01T09,Y16H2090522P01,Y16H2090522,1172,18,0,17.62,1,Melton (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 19:32:00
Y16H2090522P02T02,Y16H2090522P02,Y16H2090522,535,10,0,4.25,1,Moorabool (S),Monday,Vehicle Passenger,Education,1900-00-01 08:55:00
Y16H2090522P02T03,Y16H2090522P02,Y16H2090522,915,19,1,4.43,3,Moorabool (S),Monday,Bus,Education,1900-00-01 15:15:00
Y16H2090522P03T01,Y16H2090522P03,Y16H2090522,520,10,0,2.62,1,Moorabool (S),Monday,Vehicle Passenger,Education,1900-00-01 08:40:00
Y16H2090522P03T02,Y16H2090522P03,Y16H2090522,925,5,0,2.61,1,Moorabool (S),Monday,Vehicle Passenger,Education,1900-00-01 15:25:00
Y16H2090522P03T03,Y16H2090522P03,Y16H2090522,1120,4,0,1.95,1,Moorabool (S),Monday,Vehicle Passenger,Recreational,1900-00-01 18:40:00
Y16H2090522P03T04,Y16H2090522P03,Y16H2090522,1175,4,0,1.94,1,Moorabool (S),Monday,Vehicle Passenger,Recreational,1900-00-01 19:35:00
Y16H2090522P04T01,Y16H2090522P04,Y16H2090522,520,10,0,2.62,1,Moorabool (S),Monday,Vehicle Passenger,Education,1900-00-01 08:40:00
Y16H2090522P04T02,Y16H2090522P04,Y16H2090522,925,5,0,2.61,1,Moorabool (S),Monday,Vehicle Passenger,Education,1900-00-01 15:25:00
Y16H2090522P05T01,Y16H2090522P05,Y16H2090522,520,10,0,2.62,1,Moorabool (S),Monday,Vehicle Passenger,Education,1900-00-01 08:40:00
Y16H2090522P05T02,Y16H2090522P05,Y16H2090522,925,5,0,2.61,1,Moorabool (S),Monday,Vehicle Passenger,Education,1900-00-01 15:25:00
Y16H2090523P01T01,Y16H2090523P01,Y16H2090523,360,30,0,37.71,1,Moorabool (S),Tuesday,Vehicle Driver,Work Related,1900-00-01 06:00:00
Y16H2090523P01T02,Y16H2090523P01,Y16H2090523,910,30,0,37.74,1,Melton (S),Tuesday,Vehicle Driver,Work Related,1900-00-01 15:10:00
Y16H2090523P02T03,Y16H2090523P02,Y16H2090523,825,2,0,0.17,1,Moorabool (S),Tuesday,Walking,Recreational,1900-00-01 13:45:00
Y16H2090523P02T04,Y16H2090523P02,Y16H2090523,877,2,0,0.17,1,Moorabool (S),Tuesday,Walking,Recreational,1900-00-01 14:37:00
Y16H2090523P03T03,Y16H2090523P03,Y16H2090523,825,2,0,0.17,1,Moorabool (S),Tuesday,Walking,Recreational,1900-00-01 13:45:00
Y16H2090523P03T04,Y16H2090523P03,Y16H2090523,877,2,0,0.17,1,Moorabool (S),Tuesday,Walking,Recreational,1900-00-01 14:37:00
Y16H2090525P01T04,Y16H2090525P01,Y16H2090525,1025,90,0,81.1,1,Monash (C),Thursday,Vehicle Driver,Work Related,1900-00-01 17:05:00
Y16H2090529P01T01,Y16H2090529P01,Y16H2090529,390,45,0,56.4,1,Moorabool (S),Monday,Vehicle Driver,Work Related,1900-00-01 06:30:00
Y16H2090529P01T02,Y16H2090529P01,Y16H2090529,440,10,0,1.22,1,Port Phillip (C),Monday,Vehicle Driver,Work Related,1900-00-01 07:20:00
Y16H2090529P01T03,Y16H2090529P01,Y16H2090529,600,15,0,3.94,1,Melbourne (C),Monday,Vehicle Driver,Work Related,1900-00-01 10:00:00
Y16H2090529P01T04,Y16H2090529P01,Y16H2090529,675,10,0,3.62,1,Melbourne (C),Monday,Vehicle Driver,Work Related,1900-00-01 11:15:00
Y16H2090529P01T05,Y16H2090529P01,Y16H2090529,690,10,0,0.37,1,Port Phillip (C),Monday,Vehicle Driver,Social,1900-00-01 11:30:00
Y16H2090529P01T06,Y16H2090529P01,Y16H2090529,749,1,0,0.28,1,Port Phillip (C),Monday,Vehicle Driver,Buy Something,1900-00-01 12:29:00
Y16H2090529P01T07,Y16H2090529P01,Y16H2090529,780,45,0,40.64,1,Port Phillip (C),Monday,Vehicle Driver,Buy Something,1900-00-01 13:00:00
Y16H2090529P01T08,Y16H2090529P01,Y16H2090529,840,15,0,17.35,1,Melton (S),Monday,Vehicle Driver,Buy Something,1900-00-01 14:00:00
Y16H2090529P02T03,Y16H2090529P02,Y16H2090529,600,10,0,3.03,1,Moorabool (S),Monday,Vehicle Driver,Buy Something,1900-00-01 10:00:00
Y16H2090529P02T04,Y16H2090529P02,Y16H2090529,660,10,0,3.03,1,Moorabool (S),Monday,Vehicle Driver,Buy Something,1900-00-01 11:00:00
Y16H2090529P02T06,Y16H2090529P02,Y16H2090529,915,5,0,1.16,1,Moorabool (S),Monday,Vehicle Driver,Social,1900-00-01 15:15:00
Y16H2090529P02T07,Y16H2090529P02,Y16H2090529,950,5,0,3.29,1,Moorabool (S),Monday,Vehicle Driver,Social,1900-00-01 15:50:00
Y16H2090529P04T06,Y16H2090529P04,Y16H2090529,915,5,0,1.16,1,Moorabool (S),Monday,Vehicle Passenger,Social,1900-00-01 15:15:00
Y16H2090529P04T07,Y16H2090529P04,Y16H2090529,950,5,0,3.29,1,Moorabool (S),Monday,Vehicle Passenger,Social,1900-00-01 15:50:00
Y16H2090529P05T06,Y16H2090529P05,Y16H2090529,915,5,0,1.16,1,Moorabool (S),Monday,Vehicle Passenger,Social,1900-00-01 15:15:00
Y16H2090529P05T07,Y16H2090529P05,Y16H2090529,950,5,0,3.29,1,Moorabool (S),Monday,Vehicle Passenger,Social,1900-00-01 15:50:00
Y16H2100102P01T01,Y16H2100102P01,Y16H2100102,600,15,0,12.1,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 10:00:00
Y16H2100102P01T02,Y16H2100102P01,Y16H2100102,780,10,0,5,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 13:00:00
Y16H2100102P01T03,Y16H2100102P01,Y16H2100102,1140,20,0,14.63,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 19:00:00
Y16H2100102P02T01,Y16H2100102P02,Y16H2100102,540,15,0,12.1,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 09:00:00
Y16H2100102P02T02,Y16H2100102P02,Y16H2100102,615,10,0,5,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 10:15:00
Y16H2100102P02T03,Y16H2100102P02,Y16H2100102,750,10,0,3.74,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 12:30:00
Y16H2100102P02T04,Y16H2100102P02,Y16H2100102,795,10,0,5,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 13:15:00
Y16H2100102P02T06,Y16H2100102P02,Y16H2100102,982,20,0,14.14,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 16:22:00
Y16H2100102P02T07,Y16H2100102P02,Y16H2100102,1140,20,0,14.63,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 19:00:00
Y16H2100102P03T01,Y16H2100102P03,Y16H2100102,440,75,3,44.55,2,Mornington Peninsula (S),Tuesday,Bus,Education,1900-00-01 07:20:00
Y16H2100102P03T02,Y16H2100102P03,Y16H2100102,940,62,2,61,2,Mornington Peninsula (S),Tuesday,Bus,Social,1900-00-01 15:40:00
Y16H2100102P03T03,Y16H2100102P03,Y16H2100102,1140,20,0,14.63,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Social,1900-00-01 19:00:00
Y16H2100102P04T01,Y16H2100102P04,Y16H2100102,440,75,3,44.55,2,Mornington Peninsula (S),Tuesday,Bus,Education,1900-00-01 07:20:00
Y16H2100102P04T02,Y16H2100102P04,Y16H2100102,940,62,2,58.23,2,Mornington Peninsula (S),Tuesday,Bus,Social,1900-00-01 15:40:00
Y16H2100102P04T03,Y16H2100102P04,Y16H2100102,1140,20,0,14.63,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Social,1900-00-01 19:00:00
Y16H2100104P02T01,Y16H2100104P02,Y16H2100104,480,15,0,13.08,1,Mornington Peninsula (S),Thursday,Vehicle Driver,Recreational,1900-00-01 08:00:00
Y16H2100104P02T02,Y16H2100104P02,Y16H2100104,840,15,0,12.97,1,Mornington Peninsula (S),Thursday,Vehicle Driver,Recreational,1900-00-01 14:00:00
Y16H2100112P01T01,Y16H2100112P01,Y16H2100112,555,15,0,6.21,1,Mornington Peninsula (S),Friday,Vehicle Driver,Recreational,1900-00-01 09:15:00
Y16H2100112P01T02,Y16H2100112P01,Y16H2100112,630,15,0,6.21,1,Mornington Peninsula (S),Friday,Vehicle Driver,Recreational,1900-00-01 10:30:00
Y16H2100112P01T03,Y16H2100112P01,Y16H2100112,750,20,0,14.55,1,Mornington Peninsula (S),Friday,Vehicle Driver,Buy Something,1900-00-01 12:30:00
Y16H2100112P01T05,Y16H2100112P01,Y16H2100112,830,15,0,4.32,1,Mornington Peninsula (S),Friday,Vehicle Driver,Buy Something,1900-00-01 13:50:00
Y16H2100112P01T06,Y16H2100112P01,Y16H2100112,860,5,0,0.68,1,Mornington Peninsula (S),Friday,Vehicle Driver,Buy Something,1900-00-01 14:20:00
Y16H2100115P01T01,Y16H2100115P01,Y16H2100115,450,20,0,11.05,1,Mornington Peninsula (S),Monday,Vehicle Driver,Work Related,1900-00-01 07:30:00
Y16H2100115P01T02,Y16H2100115P01,Y16H2100115,966,14,0,5.71,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 16:06:00
Y16H2100115P01T03,Y16H2100115P01,Y16H2100115,990,20,0,5.4,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 16:30:00
Y16H2100115P02T03,Y16H2100115P02,Y16H2100115,900,10,0,5.15,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 15:00:00
Y16H2100115P02T04,Y16H2100115P02,Y16H2100115,930,10,0,5.4,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 15:30:00
Y16H2100115P03T01,Y16H2100115P03,Y16H2100115,505,20,0,11,1,Mornington Peninsula (S),Monday,Vehicle Passenger,Education,1900-00-01 08:25:00
Y16H2100115P03T02,Y16H2100115P03,Y16H2100115,966,14,0,5.71,1,Mornington Peninsula (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 16:06:00
Y16H2100115P03T03,Y16H2100115P03,Y16H2100115,990,20,0,5.4,1,Mornington Peninsula (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 16:30:00
Y16H2100116P02T01,Y16H2100116P02,Y16H2100116,465,17,0,2.58,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 07:45:00
Y16H2100116P02T02,Y16H2100116P02,Y16H2100116,485,2,0,3.05,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Work Related,1900-00-01 08:05:00
Y16H2100116P02T03,Y16H2100116P02,Y16H2100116,975,15,0,13.71,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Work Related,1900-00-01 16:15:00
Y16H2100116P02T04,Y16H2100116P02,Y16H2100116,1035,15,0,9.85,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Work Related,1900-00-01 17:15:00
Y16H2100117P01T01,Y16H2100117P01,Y16H2100117,600,15,0,6.77,1,Boroondara (C),Wednesday,Vehicle Passenger,Buy Something,1900-00-01 10:00:00
Y16H2100117P01T03,Y16H2100117P01,Y16H2100117,930,10,0,4.52,1,Mornington Peninsula (S),Wednesday,Vehicle Passenger,Buy Something,1900-00-01 15:30:00
Y16H2100117P01T04,Y16H2100117P01,Y16H2100117,950,10,0,4.75,1,Mornington Peninsula (S),Wednesday,Vehicle Passenger,Buy Something,1900-00-01 15:50:00
Y16H2100117P02T01,Y16H2100117P02,Y16H2100117,600,15,0,6.77,1,Boroondara (C),Wednesday,Vehicle Driver,Buy Something,1900-00-01 10:00:00
Y16H2100117P02T03,Y16H2100117P02,Y16H2100117,930,10,0,4.52,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Buy Something,1900-00-01 15:30:00
Y16H2100117P02T04,Y16H2100117P02,Y16H2100117,950,10,0,4.75,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Buy Something,1900-00-01 15:50:00
Y16H2100123P01T02,Y16H2100123P01,Y16H2100123,755,10,0,9.49,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Buy Something,1900-00-01 12:35:00
Y16H2100123P01T03,Y16H2100123P01,Y16H2100123,785,10,0,4.08,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Buy Something,1900-00-01 13:05:00
Y16H2100123P02T02,Y16H2100123P02,Y16H2100123,755,10,0,9.49,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 12:35:00
Y16H2100123P02T03,Y16H2100123P02,Y16H2100123,785,10,0,4.08,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 13:05:00
Y16H2100123P03T02,Y16H2100123P03,Y16H2100123,755,10,0,9.49,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 12:35:00
Y16H2100123P03T03,Y16H2100123P03,Y16H2100123,785,10,0,4.08,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 13:05:00
Y16H2100129P01T01,Y16H2100129P01,Y16H2100129,330,75,0,34.01,1,Mornington Peninsula (S),Monday,Vehicle Driver,Work Related,1900-00-01 05:30:00
Y16H2100129P01T02,Y16H2100129P01,Y16H2100129,1050,45,0,34.43,1,Mornington Peninsula (S),Monday,Vehicle Driver,Work Related,1900-00-01 17:30:00
Y16H2100129P02T01,Y16H2100129P02,Y16H2100129,660,10,0,3.86,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 11:00:00
Y16H2100129P02T02,Y16H2100129P02,Y16H2100129,690,10,0,3.96,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 11:30:00
Y16H2100129P03T01,Y16H2100129P03,Y16H2100129,480,20,0,24.18,1,Mornington Peninsula (S),Monday,Vehicle Driver,Work Related,1900-00-01 08:00:00
Y16H2100129P03T02,Y16H2100129P03,Y16H2100129,945,45,0,25.62,1,Mornington Peninsula (S),Monday,Vehicle Driver,Work Related,1900-00-01 15:45:00
Y16H2100130P01T01,Y16H2100130P01,Y16H2100130,870,15,0,11.72,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 14:30:00
Y16H2100130P01T02,Y16H2100130P01,Y16H2100130,930,15,0,11.76,1,Mornington Peninsula (S),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 15:30:00
Y16H2100130P02T01,Y16H2100130P02,Y16H2100130,680,35,0,9.47,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Buy Something,1900-00-01 11:20:00
Y16H2100130P02T02,Y16H2100130P02,Y16H2100130,780,20,0,5.76,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Buy Something,1900-00-01 13:00:00
