TRIPID,PERSID,HHID,STARTIME,TRIPTIME,WAITIME,CUMDIST,STOPS,ORIGLGA,TRAVDOW,Mode_Group,TRIPPURP,ActualStartTime
Y17H2390432P01T03,Y17H2390432P01,Y17H2390432,1100,10,0,1.68,1,Moreland (C),Thursday,Vehicle Driver,Social,1900-00-01 18:20:00
Y17H2390432P01T04,Y17H2390432P01,Y17H2390432,1200,15,0,1.72,1,Moonee Valley (C),Thursday,Vehicle Driver,Social,1900-00-01 20:00:00
Y17H2390432P02T01,Y17H2390432P02,Y17H2390432,465,20,0,15.96,1,Moreland (C),Thursday,Vehicle Driver,Work Related,1900-00-01 07:45:00
Y17H2390432P02T02,Y17H2390432P02,Y17H2390432,995,15,0,0.33,1,Whittlesea (C),Thursday,Vehicle Driver,Work Related,1900-00-01 16:35:00
Y17H2390432P02T05,Y17H2390432P02,Y17H2390432,1100,10,0,1.68,1,Moreland (C),Thursday,Vehicle Passenger,Social,1900-00-01 18:20:00
Y17H2390432P02T06,Y17H2390432P02,Y17H2390432,1200,15,0,1.72,1,Moonee Valley (C),Thursday,Vehicle Passenger,Social,1900-00-01 20:00:00
Y17H2390432P03T03,Y17H2390432P03,Y17H2390432,1100,10,0,1.68,1,Moreland (C),Thursday,Vehicle Passenger,Social,1900-00-01 18:20:00
Y17H2390432P03T04,Y17H2390432P03,Y17H2390432,1200,15,0,1.72,1,Moonee Valley (C),Thursday,Vehicle Passenger,Social,1900-00-01 20:00:00
Y17H2390433P01T01,Y17H2390433P01,Y17H2390433,450,30,0,15.49,1,Moreland (C),Friday,Vehicle Driver,Work Related,1900-00-01 07:30:00
Y17H2390433P01T02,Y17H2390433P01,Y17H2390433,960,45,0,15.35,1,Melbourne (C),Friday,Vehicle Driver,Work Related,1900-00-01 16:00:00
Y17H2390433P02T01,Y17H2390433P02,Y17H2390433,420,60,0,24.91,1,Moreland (C),Friday,Vehicle Driver,Work Related,1900-00-01 07:00:00
Y17H2390433P02T02,Y17H2390433P02,Y17H2390433,990,75,0,25.38,1,Port Phillip (C),Friday,Vehicle Driver,Work Related,1900-00-01 16:30:00
Y17H2390433P03T01,Y17H2390433P03,Y17H2390433,540,30,0,44.26,1,Moreland (C),Friday,Vehicle Driver,Work Related,1900-00-01 09:00:00
Y17H2390433P03T02,Y17H2390433P03,Y17H2390433,990,45,0,44.54,1,Monash (C),Friday,Vehicle Driver,Work Related,1900-00-01 16:30:00
